GroupId,ProductId,MovieTitle,Store,Category,SubCategory,Price,ShippingDuration
,MV12UN0001-1,Broken Arrow ,Movies,International Movies,Action And Adventure,450,5
,MV12UN0003-1,Kamasutra ,Movies,Indian  Movies,Drama,789,5
MV12UN0005,MV12UN0005-1,District 9 ,Movies,International Movies,Action And Adventure,789,5
MV12UN0005,MV12UN0005-2,District 9 ,Movies,International Movies,Action And Adventure,689,3
MV12UN0005,MV12UN0005-3,District 9 ,Movies,International Movies,Action And Adventure,889,7
MV12UN0007,MV12UN0007-1,The Hurt Locker ,Movies,International Movies,Drama,789,5
MV12UN0007,MV12UN0007-2,The Hurt Locker ,Movies,International Movies,Drama,689,3
MV12UN0007,MV12UN0007-3,The Hurt Locker ,Movies,International Movies,Drama,889,7
,MV12UN0009-1,Water ,Movies,Indian  Movies,Drama,789,5
MV12UN0011,MV12UN0011-1,Mrs. Miniver,Movies,International Movies,Drama,563,5
MV12UN0011,MV12UN0011-2,Mrs. Miniver,Movies,International Movies,Drama,463,3
MV12UN0011,MV12UN0011-3,Mrs. Miniver,Movies,International Movies,Drama,663,7
MV12UN0013,MV12UN0013-1,Gigi,Movies,International Movies,Romance,563,5
MV12UN0013,MV12UN0013-2,Gigi,Movies,International Movies,Romance,463,3
MV12UN0013,MV12UN0013-3,Gigi,Movies,International Movies,Romance,663,7
MV12UN0015,MV12UN0015-1,Gone With The Wind,Movies,International Movies,Romance,676,5
MV12UN0015,MV12UN0015-2,Gone With The Wind,Movies,International Movies,Romance,576,3
MV12UN0015,MV12UN0015-3,Gone With The Wind,Movies,International Movies,Romance,776,7
,MV12UN0017-1,Casablanca,Movies,International Movies,Romance,676,5
MV12UN0019,MV12UN0019-1,Ben Hur,Movies,International Movies,Drama,676,5
MV12UN0019,MV12UN0019-2,Ben Hur,Movies,International Movies,Drama,576,3
MV12UN0019,MV12UN0019-3,Ben Hur,Movies,International Movies,Drama,776,7
,MV12UN0021-1,An American In Paris,Movies,International Movies,Romance,563,5
MV12UN0023,MV12UN0023-1,Around The World In 80 Days,Movies,International Movies,Family,676,5
MV12UN0023,MV12UN0023-2,Around The World In 80 Days,Movies,International Movies,Family,576,3
MV12UN0023,MV12UN0023-3,Around The World In 80 Days,Movies,International Movies,Family,776,7
,MV12UN0025-1,Amadeus,Movies,International Movies,Drama,563,5
MV12UN0027,MV12UN0027-1,Dances With Wolves,Movies,International Movies,Drama,563,5
MV12UN0027,MV12UN0027-2,Dances With Wolves,Movies,International Movies,Drama,463,3
MV12UN0027,MV12UN0027-3,Dances With Wolves,Movies,International Movies,Drama,663,7
,MV12UN0029-1,Unforgiven,Movies,International Movies,Drama,563,5
,MV12UN0031-1,The Departed,Movies,International Movies,Action And Adventure,563,5
MV12UN0033,MV12UN0033-1,Mutiny On The Bounty,Movies,International Movies,Romance,563,5
MV12UN0033,MV12UN0033-2,Mutiny On The Bounty,Movies,International Movies,Romance,463,3
MV12UN0033,MV12UN0033-3,Mutiny On The Bounty,Movies,International Movies,Romance,663,7
MV12UN0035,MV12UN0035-1,The Godfather,Movies,International Movies,Action And Adventure,563,5
MV12UN0035,MV12UN0035-2,The Godfather,Movies,International Movies,Action And Adventure,463,3
MV12UN0035,MV12UN0035-3,The Godfather,Movies,International Movies,Action And Adventure,663,7
,MV12UN0037-1,Ordinary People,Movies,International Movies,Drama,563,5
MV12UN0039,MV12UN0039-1,Terms Of Endearment,Movies,International Movies,Romance,450,5
MV12UN0039,MV12UN0039-2,Terms Of Endearment,Movies,International Movies,Romance,350,3
MV12UN0039,MV12UN0039-3,Terms Of Endearment,Movies,International Movies,Romance,550,7
,MV12UN0041-1,The Greatest Show On Earth,Movies,International Movies,Drama,450,5
,MV12UN0043-1,American Beauty,Movies,International Movies,Drama,563,5
,MV12UN0045-1,The Godfather - II,Movies,International Movies,Drama,563,5
,MV12UN0047-1,Gladiator,Movies,International Movies,Action And Adventure,563,5
,MV12UN0049-1,Shakespeare In Love,Movies,International Movies,Comedy,563,5
MV12UN0051,MV12UN0051-1,Schindlers List,Movies,International Movies,Drama,676,5
MV12UN0051,MV12UN0051-2,Schindlers List,Movies,International Movies,Drama,576,3
MV12UN0051,MV12UN0051-3,Schindlers List,Movies,International Movies,Drama,776,7
,MV12UN0053-1,No Country For Old Men,Movies,International Movies,Drama,563,5
,MV12UN0055-1,A Beautiful Mind,Movies,International Movies,Drama,563,5
MV12UN0057,MV12UN0057-1,Forest Gump,Movies,International Movies,Comedy,563,5
MV12UN0057,MV12UN0057-2,Forest Gump,Movies,International Movies,Comedy,463,3
MV12UN0057,MV12UN0057-3,Forest Gump,Movies,International Movies,Comedy,663,7
,MV12UN0059-1,True Grit,Movies,International Movies,Action And Adventure,428,5
MV12UN0061,MV12UN0061-1,High Noon,Movies,International Movies,Drama,450,5
MV12UN0061,MV12UN0061-2,High Noon,Movies,International Movies,Drama,350,3
MV12UN0061,MV12UN0061-3,High Noon,Movies,International Movies,Drama,550,7
,MV12UN0063-1,Children Of Lesser God,Movies,International Movies,Drama,337,5
MV12UN0065,MV12UN0065-1,Roman Holiday,Movies,International Movies,Romance,563,5
MV12UN0065,MV12UN0065-2,Roman Holiday,Movies,International Movies,Romance,463,3
MV12UN0065,MV12UN0065-3,Roman Holiday,Movies,International Movies,Romance,663,7
,MV12UN0067-1,An Inconvenient Truth,Movies,International Movies,Documentary Movies,563,5
MV12UN0069,MV12UN0069-1,Saving Private Ryan,Movies,International Movies,Action And Adventure,563,5
MV12UN0069,MV12UN0069-2,Saving Private Ryan,Movies,International Movies,Action And Adventure,463,3
MV12UN0069,MV12UN0069-3,Saving Private Ryan,Movies,International Movies,Action And Adventure,663,7
MV12UN0071,MV12UN0071-1,A Place In The Sun,Movies,International Movies,Drama,676,5
MV12UN0071,MV12UN0071-2,A Place In The Sun,Movies,International Movies,Drama,576,3
MV12UN0071,MV12UN0071-3,A Place In The Sun,Movies,International Movies,Drama,776,7
,MV12UN0073-1,The Blind Side,Movies,International Movies,Drama,676,5
MV12UN0075,MV12UN0075-1,The Curious Case Of Benjamin Button,Movies,International Movies,Drama,450,5
MV12UN0075,MV12UN0075-2,The Curious Case Of Benjamin Button,Movies,International Movies,Drama,350,3
MV12UN0075,MV12UN0075-3,The Curious Case Of Benjamin Button,Movies,International Movies,Drama,550,7
MV12UN0077,MV12UN0077-1,The Dark Knight,Movies,International Movies,Action And Adventure,676,5
MV12UN0077,MV12UN0077-2,The Dark Knight,Movies,International Movies,Action And Adventure,576,3
MV12UN0077,MV12UN0077-3,The Dark Knight,Movies,International Movies,Action And Adventure,776,7
,MV12UN0079-1,Goodfellas,Movies,International Movies,Drama,676,5
,MV12UN0081-1,La Confidential,Movies,International Movies,Crime And Thriller,563,5
,MV12UN0083-1,The Matrix,Movies,International Movies,Action And Adventure,563,5
MV12UN0085,MV12UN0085-1,Mystic River,Movies,International Movies,Crime And Thriller,563,5
MV12UN0085,MV12UN0085-2,Mystic River,Movies,International Movies,Crime And Thriller,463,3
MV12UN0085,MV12UN0085-3,Mystic River,Movies,International Movies,Crime And Thriller,663,7
,MV12UN0087-1,One Flew Over The Cuckoo`S Nest,Movies,International Movies,Drama,563,5
MV12UN0089,MV12UN0089-1,A Streetcar Named Desire,Movies,International Movies,Drama,676,5
MV12UN0089,MV12UN0089-2,A Streetcar Named Desire,Movies,International Movies,Drama,576,3
MV12UN0089,MV12UN0089-3,A Streetcar Named Desire,Movies,International Movies,Drama,776,7
,MV12UN0091-1,On Golden Pond,Movies,International Movies,Drama,563,5
,MV12UN0093-1,Inglorious Basterds,Movies,International Movies,Action And Adventure,676,5
,MV12UN0095-1,Jaws,Movies,International Movies,Crime And Thriller,563,5
,MV12UN0097-1,Scent Of Woman,Movies,International Movies,Drama,563,5
